ProID,Info,,time,Value,
GenTime,2021-12-22 20:45:23,,0.0,-2.4,
Record Length,87500 Points,,8.0E-5,3.2,
Sample Interval,8.0E-5 s,,1.6E-4,1.6,
Trigger Time,0s,,2.4E-4,1.6,
Source,CH2,,3.2E-4,0.8,
Vertical Units,(V)/grid,,4.0E-4,0.8,
Vertical Scale,20.0,,4.8E-4,0.8,
Vertical Offset,-44,,5.5999996E-4,0.8,
Horizontal Units,s/grid,,6.4E-4,-4.8,
Horizontal Scale,0.5,,7.2E-4,-4.0,
Probe Atten,10.0,,8.0E-4,-3.2,
,,,8.7999995E-4,-3.2,
,,,9.6E-4,-2.4,
,,,0.00104,-2.4,
,,,0.0011199999,-2.4,
,,,0.0011999999,-2.4,
,,,0.00128,1.6,
,,,0.00136,0.8,
,,,0.00144,0.8,
,,,0.0015199999,0.0,
,,,0.0016,0.8,
,,,0.00168,0.0,
,,,0.0017599999,0.0,
,,,0.0018399999,-3.2,
,,,0.00192,-3.2,
,,,0.0019999999,-2.4,
,,,0.00208,-2.4,
,,,0.00216,-2.4,
,,,0.0022399998,-1.6,
,,,0.00232,-1.6,
,,,0.0023999999,1.6,
,,,0.00248,0.8,
,,,0.00256,0.8,
,,,0.0026399998,0.0,
,,,0.00272,0.0,
,,,0.0028,0.0,
,,,0.00288,0.0,
,,,0.00296,-10.8,
,,,0.0030399999,-11.6,
,,,0.00312,-8.8,
,,,0.0032,-7.2000003,
,,,0.0032799998,-6.4,
,,,0.00336,-6.4,
,,,0.00344,-5.6,
,,,0.0035199998,22.4,
,,,0.0036,14.8,
,,,0.0036799998,12.400001,
,,,0.00376,10.8,
,,,0.00384,10.0,
,,,0.00392,9.2,
,,,0.0039999997,8.400001,
,,,0.00408,-19.6,
,,,0.00416,-14.0,
,,,0.0042399997,-11.6,
,,,0.00432,-9.6,
,,,0.0044,-8.8,
,,,0.0044799997,-7.2000003,
,,,0.00456,-7.2000003,
,,,0.00464,15.6,
,,,0.00472,12.400001,
,,,0.0047999998,9.2,
,,,0.00488,8.400001,
,,,0.00496,7.6,
,,,0.0050399997,6.8,
,,,0.00512,6.0,
,,,0.0052,-14.8,
,,,0.0052799997,-13.2,
,,,0.00536,-9.6,
,,,0.00544,-8.0,
,,,0.0055199997,-7.2000003,
,,,0.0056,-6.4,
,,,0.00568,-6.4,
,,,0.00576,-5.6,
,,,0.0058399998,10.8,
,,,0.00592,7.6,
,,,0.006,6.0,
,,,0.0060799997,5.2000003,
,,,0.00616,4.4,
,,,0.00624,4.4,
,,,0.0063199997,3.2,
,,,0.0064,-10.8,
,,,0.00648,-8.0,
,,,0.0065599997,-6.4,
,,,0.00664,-6.4,
,,,0.00672,-5.6,
,,,0.0067999996,-4.8,
,,,0.00688,-4.8,
,,,0.00696,-4.0,
,,,0.0070399996,7.6,
,,,0.0071199997,4.4,
,,,0.0072,4.4,
,,,0.00728,3.2,
,,,0.0073599997,2.4,
,,,0.00744,2.4,
,,,0.00752,1.6,
,,,0.0075999997,-8.0,
,,,0.00768,-6.4,
,,,0.00776,-4.8,
,,,0.00784,-4.8,
,,,0.00792,-4.0,
,,,0.007999999,-4.0,
,,,0.00808,-4.0,
,,,0.00816,5.2000003,
,,,0.008239999,4.4,
,,,0.00832,2.4,
,,,0.0084,2.4,
,,,0.008479999,1.6,
,,,0.00856,1.6,
,,,0.00864,1.6,
,,,0.008719999,0.8,
,,,0.0088,-6.4,
,,,0.00888,-4.8,
,,,0.008959999,-4.0,
,,,0.00904,-4.0,
,,,0.00912,-3.2,
,,,0.0092,-3.2,
,,,0.00928,-3.2,
,,,0.00936,3.2,
,,,0.00944,1.6,
,,,0.00952,1.6,
,,,0.0095999995,1.6,
,,,0.00968,0.8,
,,,0.00976,0.8,
,,,0.0098399995,0.8,
,,,0.00992,-4.8,
,,,0.01,-4.0,
,,,0.010079999,-4.0,
,,,0.01016,-3.2,
,,,0.01024,-3.2,
,,,0.010319999,-3.2,
,,,0.0104,-2.4,
,,,0.01048,-2.4,
,,,0.010559999,1.6,
,,,0.01064,0.8,
,,,0.01072,0.8,
,,,0.010799999,0.0,
,,,0.01088,0.0,
,,,0.01096,0.0,
,,,0.011039999,0.0,
,,,0.01112,-4.0,
,,,0.0112,-3.2,
,,,0.011279999,-3.2,
,,,0.01136,-2.4,
,,,0.01144,-2.4,
,,,0.01152,-2.4,
,,,0.0116,-2.4,
,,,0.0116799995,1.6,
,,,0.01176,1.6,
,,,0.01184,0.8,
,,,0.0119199995,0.0,
,,,0.012,0.0,
,,,0.01208,0.0,
,,,0.012159999,0.0,
,,,0.01224,-1.6,
,,,0.01232,-10.8,
,,,0.012399999,-8.8,
,,,0.01248,-7.2000003,
,,,0.01256,-7.2000003,
,,,0.012639999,-6.4,
,,,0.01272,-6.4,
,,,0.0128,17.2,
,,,0.012879999,10.8,
,,,0.01296,9.2,
,,,0.01304,8.400001,
,,,0.013119999,7.6,
,,,0.0132,6.8,
,,,0.01328,6.0,
,,,0.013359999,-20.4,
,,,0.01344,-15.6,
,,,0.01352,-13.2,
,,,0.013599999,-12.400001,
,,,0.01368,-11.6,
,,,0.01376,-10.8,
,,,0.013839999,-9.6,
,,,0.01392,14.8,
,,,0.0139999995,9.2,
,,,0.014079999,6.8,
,,,0.01416,5.2000003,
,,,0.014239999,5.2000003,
,,,0.01432,4.4,
,,,0.0144,3.2,
,,,0.014479999,3.2,
,,,0.01456,-14.0,
,,,0.01464,-10.8,
,,,0.014719999,-9.6,
,,,0.0148,-8.8,
,,,0.01488,-8.0,
,,,0.014959999,-7.2000003,
,,,0.01504,-7.2000003,
,,,0.01512,10.0,
