ProID,Info,,time,Value,
GenTime,2021-12-22 20:44:49,,0.0,0.0,
Record Length,87500 Points,,8.0E-5,-0.8,
Sample Interval,8.0E-5 s,,1.6E-4,-0.8,
Trigger Time,0s,,2.4E-4,-0.8,
Source,CH2,,3.2E-4,-3.2,
Vertical Units,(V)/grid,,4.0E-4,-2.4,
Vertical Scale,20.0,,4.8E-4,-2.4,
Vertical Offset,-44,,5.5999996E-4,-1.6,
Horizontal Units,s/grid,,6.4E-4,-1.6,
Horizontal Scale,0.5,,7.2E-4,-1.6,
Probe Atten,10.0,,8.0E-4,-1.6,
,,,0.017199999,0.8,
,,,0.01728,0.0,
,,,0.01736,0.0,
,,,0.017439999,0.0,
,,,0.01752,0.0,
,,,0.0176,0.0,
,,,0.017679999,-3.2,
,,,0.01776,-3.2,
,,,0.01784,-2.4,
,,,0.017919999,-2.4,
,,,0.018,-2.4,
,,,0.01808,-2.4,
,,,0.01816,-1.6,
,,,0.01824,-1.6,
,,,0.01832,0.8,
,,,0.0184,0.0,
,,,0.01848,0.0,
,,,0.01856,0.0,
,,,0.01864,-0.8,
,,,0.01872,-0.8,
,,,0.0188,-0.8,
,,,0.01888,-3.2,
,,,0.01896,-3.2,
,,,0.01904,-2.4,
,,,0.01912,-2.4,
,,,0.019199999,-2.4,
,,,0.01928,-2.4,
,,,0.01936,-1.6,
,,,0.019439999,0.8,
,,,0.01952,0.8,
,,,0.0196,0.0,
,,,0.019679999,0.0,
,,,0.01976,0.0,
,,,0.01984,0.0,
,,,0.019919999,-0.8,
,,,0.02,-14.8,
,,,0.02008,-14.0,
,,,0.020159999,-11.6,
,,,0.02024,-9.6,
,,,0.02032,-8.8,
,,,0.020399999,-8.0,
,,,0.02048,-7.2000003,
,,,0.02056,18.4,
,,,0.020639999,10.8,
,,,0.02072,8.400001,
,,,0.0208,7.6,
,,,0.020879999,6.8,
,,,0.02096,6.0,
,,,0.02104,5.2000003,
,,,0.021119999,-17.2,
,,,0.0212,-9.6,
,,,0.02128,-7.2000003,
,,,0.021359999,-6.4,
,,,0.02144,-5.6,
,,,0.02152,-4.8,
,,,0.021599999,-4.0,
,,,0.02168,12.400001,
,,,0.02176,9.2,
,,,0.021839999,6.8,
,,,0.02192,5.2000003,
,,,0.022,4.4,
,,,0.022079999,4.4,
,,,0.02216,3.2,
,,,0.02224,3.2,
,,,0.022319999,-9.6,
,,,0.0224,-6.4,
,,,0.02248,-4.8,
,,,0.022559999,-4.0,
,,,0.02264,-3.2,
,,,0.02272,-3.2,
,,,0.022799999,-2.4,
,,,0.02288,8.400001,
,,,0.02296,5.2000003,
,,,0.02304,4.4,
,,,0.02312,3.2,
,,,0.0232,2.4,
,,,0.02328,2.4,
,,,0.023359999,2.4,
,,,0.02344,-8.8,
,,,0.02352,-5.6,
,,,0.023599999,-4.0,
,,,0.02368,-4.0,
,,,0.02376,-3.2,
,,,0.023839999,-3.2,
,,,0.02392,-2.4,
,,,0.024,6.0,
,,,0.024079999,5.2000003,
,,,0.02416,3.2,
,,,0.02424,2.4,
,,,0.024319999,1.6,
,,,0.0244,1.6,
,,,0.02448,1.6,
,,,0.024559999,0.8,
,,,0.02464,-6.4,
,,,0.02472,-4.0,
,,,0.024799999,-3.2,
,,,0.02488,-3.2,
,,,0.02496,-2.4,
,,,0.025039999,-2.4,
,,,0.02512,-2.4,
,,,0.0252,3.2,
,,,0.025279999,2.4,
,,,0.02536,1.6,
,,,0.02544,0.8,
,,,0.025519999,0.8,
,,,0.0256,0.8,
,,,0.02568,0.8,
,,,0.025759999,0.0,
,,,0.02584,-4.8,
,,,0.02592,-3.2,
,,,0.025999999,-3.2,
,,,0.02608,-3.2,
,,,0.02616,-2.4,
,,,0.026239999,-2.4,
,,,0.02632,-2.4,
,,,0.0264,1.6,
,,,0.026479999,0.8,
,,,0.02656,0.8,
,,,0.02664,0.0,
,,,0.026719999,0.0,
,,,0.0268,0.0,
,,,0.02688,0.0,
,,,0.026959999,0.0,
,,,0.02704,-3.2,
,,,0.02712,-2.4,
,,,0.027199998,-2.4,
,,,0.02728,-2.4,
,,,0.02736,-1.6,
,,,0.027439998,-1.6,
,,,0.02752,-1.6,
,,,0.0276,0.8,
,,,0.027679998,0.8,
,,,0.027759999,0.0,
,,,0.02784,0.0,
,,,0.027919998,0.0,
,,,0.027999999,0.0,
,,,0.02808,0.0,
,,,0.028159998,-3.2,
,,,0.028239999,-2.4,
,,,0.02832,-2.4,
,,,0.0284,-1.6,
,,,0.028479999,-1.6,
,,,0.02856,-1.6,
,,,0.02864,-1.6,
,,,0.028719999,0.8,
,,,0.0288,0.8,
,,,0.02888,0.0,
,,,0.028959999,0.0,
,,,0.02904,0.0,
,,,0.02912,0.0,
,,,0.029199999,-0.8,
,,,0.02928,-15.6,
,,,0.02936,-13.2,
,,,0.029439999,-9.6,
,,,0.02952,-8.8,
,,,0.0296,-8.0,
