ProID,Info,,time,Value,
GenTime,2021-12-22 20:45:00,,0.0,-4.0,
Record Length,87500 Points,,8.0E-5,-4.0,
Sample Interval,8.0E-5 s,,1.6E-4,4.4,
Trigger Time,0s,,2.4E-4,4.4,
Source,CH2,,3.2E-4,2.4,
Vertical Units,(V)/grid,,4.0E-4,1.6,
Vertical Scale,20.0,,4.8E-4,1.6,
Vertical Offset,-44,,5.5999996E-4,0.8,
Horizontal Units,s/grid,,6.4E-4,0.8,
Horizontal Scale,0.5,,7.2E-4,0.8,
Probe Atten,10.0,,8.0E-4,-5.6,
,,,8.7999995E-4,-4.0,
,,,9.6E-4,-4.0,
,,,0.00104,-3.2,
,,,0.0011199999,-3.2,
,,,0.0011999999,-3.2,
,,,0.00128,-3.2,
,,,0.00136,2.4,
,,,0.00144,1.6,
,,,0.0015199999,0.8,
,,,0.0016,0.8,
,,,0.00168,0.0,
,,,0.0017599999,0.0,
,,,0.0018399999,0.0,
,,,0.00192,0.0,
,,,0.0019999999,-4.0,
,,,0.00208,-3.2,
,,,0.00216,-2.4,
,,,0.0022399998,-2.4,
,,,0.00232,-2.4,
,,,0.0023999999,-2.4,
,,,0.00248,-2.4,
,,,0.00256,1.6,
,,,0.0026399998,0.8,
,,,0.00272,0.0,
,,,0.0028,0.0,
,,,0.00288,0.0,
,,,0.00296,0.0,
,,,0.0030399999,0.0,
,,,0.00312,-0.8,
,,,0.0032,-3.2,
,,,0.0032799998,-2.4,
,,,0.00336,-2.4,
,,,0.00344,-1.6,
,,,0.0035199998,-2.4,
,,,0.0036,-2.4,
,,,0.0036799998,-2.4,
,,,0.00376,0.8,
,,,0.00384,0.8,
,,,0.00392,0.0,
,,,0.0039999997,0.0,
,,,0.00408,0.0,
,,,0.00416,-0.8,
,,,0.0042399997,-0.8,
,,,0.00432,-3.2,
,,,0.0044,-3.2,
,,,0.0044799997,-3.2,
,,,0.00456,-3.2,
,,,0.00464,-3.2,
,,,0.00472,-3.2,
,,,0.0047999998,-3.2,
,,,0.00488,0.8,
,,,0.00496,0.8,
,,,0.0050399997,0.0,
,,,0.00512,0.0,
,,,0.0052,0.0,
,,,0.0052799997,0.0,
,,,0.00536,-0.8,
,,,0.00544,-0.8,
,,,0.0055199997,-3.2,
,,,0.0056,-3.2,
,,,0.00568,-3.2,
,,,0.00576,-3.2,
,,,0.0058399998,-3.2,
,,,0.00592,-3.2,
,,,0.006,-3.2,
,,,0.0060799997,12.400001,
,,,0.00616,7.6,
,,,0.00624,6.0,
,,,0.0063199997,5.2000003,
,,,0.0064,4.4,
,,,0.00648,3.2,
,,,0.0065599997,-22.0,
,,,0.00664,-16.4,
,,,0.00672,-12.400001,
,,,0.0067999996,-10.8,
,,,0.00688,-9.6,
,,,0.00696,-8.8,
,,,0.0070399996,-8.8,
,,,0.0071199997,14.8,
,,,0.0072,10.8,
,,,0.00728,6.8,
,,,0.0073599997,6.0,
,,,0.00744,4.4,
,,,0.00752,4.4,
,,,0.0075999997,3.2,
,,,0.00768,3.2,
,,,0.00776,-12.400001,
,,,0.00784,-8.8,
,,,0.00792,-7.2000003,
,,,0.007999999,-6.4,
,,,0.00808,-5.6,
,,,0.00816,-5.6,
,,,0.008239999,-4.8,
,,,0.00832,8.400001,
,,,0.0084,5.2000003,
,,,0.008479999,3.2,
,,,0.00856,2.4,
,,,0.00864,2.4,
,,,0.008719999,1.6,
,,,0.0088,1.6,
,,,0.00888,-8.0,
,,,0.008959999,-8.0,
,,,0.00904,-5.6,
,,,0.00912,-4.8,
,,,0.0092,-4.0,
,,,0.00928,-4.0,
,,,0.00936,-4.0,
,,,0.00944,-3.2,
,,,0.00952,5.2000003,
,,,0.0095999995,2.4,
,,,0.00968,1.6,
,,,0.00976,1.6,
,,,0.0098399995,0.8,
,,,0.00992,0.8,
,,,0.01,0.8,
,,,0.010079999,-5.6,
,,,0.01016,-4.8,
,,,0.01024,-4.0,
,,,0.010319999,-3.2,
,,,0.0104,-3.2,
,,,0.01048,-3.2,
,,,0.010559999,-2.4,
,,,0.01064,-3.2,
,,,0.01072,2.4,
,,,0.010799999,0.8,
,,,0.01088,0.8,
,,,0.01096,0.8,
,,,0.011039999,0.0,
,,,0.01112,0.0,
,,,0.0112,0.0,
,,,0.011279999,-4.0,
,,,0.01136,-3.2,
,,,0.01144,-2.4,
,,,0.01152,-2.4,
,,,0.0116,-2.4,
,,,0.0116799995,-2.4,
,,,0.01176,-2.4,
,,,0.01184,1.6,
,,,0.0119199995,0.8,
,,,0.012,0.0,
,,,0.01208,0.0,
,,,0.012159999,0.0,
,,,0.01224,0.0,
,,,0.01232,0.0,
,,,0.012399999,-3.2,
,,,0.01248,-3.2,
,,,0.01256,-2.4,
,,,0.012639999,-2.4,
,,,0.01272,-2.4,
,,,0.0128,-2.4,
,,,0.012879999,-2.4,
,,,0.01296,-1.6,
,,,0.01304,0.8,
,,,0.013119999,0.0,
,,,0.0132,0.0,
,,,0.01328,0.0,
,,,0.013359999,0.0,
,,,0.01344,0.0,
,,,0.01352,0.0,
,,,0.013599999,-3.2,
,,,0.01368,-3.2,
,,,0.01376,-2.4,
,,,0.013839999,-2.4,
,,,0.01392,-1.6,
,,,0.0139999995,-1.6,
,,,0.014079999,-1.6,
,,,0.01416,0.8,
,,,0.014239999,0.8,
,,,0.01432,0.0,
,,,0.0144,0.0,
,,,0.014479999,0.0,
,,,0.01456,0.0,
,,,0.01464,0.0,
,,,0.014719999,0.0,
,,,0.0148,-3.2,
,,,0.01488,-2.4,
,,,0.014959999,-2.4,
,,,0.01504,-2.4,
,,,0.01512,-1.6,
,,,0.015199999,-1.6,
,,,0.01528,-1.6,
,,,0.01536,10.8,
,,,0.015439999,6.8,
,,,0.01552,5.2000003,
,,,0.0156,4.4,
,,,0.01568,4.4,
,,,0.015759999,3.2,
,,,0.01584,-22.0,
,,,0.01592,-17.2,
,,,0.015999999,-13.2,
,,,0.01608,-10.8,
,,,0.01616,-9.6,
,,,0.016239999,-8.8,
,,,0.01632,-8.8,
,,,0.0164,-8.0,
,,,0.016479999,14.0,
,,,0.01656,9.2,
,,,0.01664,6.8,
,,,0.016719999,5.2000003,
,,,0.0168,4.4,
,,,0.01688,4.4,
,,,0.016959999,3.2,
,,,0.01704,-13.2,
,,,0.01712,-9.6,
,,,0.017199999,-7.2000003,
,,,0.01728,-6.4,
,,,0.01736,-5.6,
,,,0.017439999,-5.6,
,,,0.01752,-4.8,
,,,0.0176,7.6,
,,,0.017679999,7.6,
,,,0.01776,4.4,
,,,0.01784,3.2,
,,,0.017919999,2.4,
,,,0.018,2.4,
,,,0.01808,1.6,
,,,0.01816,1.6,
,,,0.01824,-8.0,
,,,0.01832,-5.6,
,,,0.0184,-4.8,
,,,0.01848,-4.0,
,,,0.01856,-4.0,
,,,0.01864,-4.0,
,,,0.01872,-4.0,
,,,0.0188,5.2000003,
,,,0.01888,3.2,
,,,0.01896,1.6,
,,,0.01904,1.6,
,,,0.01912,1.6,
,,,0.019199999,0.8,
,,,0.01928,0.8,
,,,0.01936,-5.6,
,,,0.019439999,-4.8,
,,,0.01952,-4.0,
,,,0.0196,-3.2,
,,,0.019679999,-3.2,
,,,0.01976,-3.2,
,,,0.01984,-3.2,
,,,0.019919999,-3.2,
,,,0.02,2.4,
,,,0.02008,1.6,
,,,0.020159999,0.8,
,,,0.02024,0.8,
,,,0.02032,0.0,
,,,0.020399999,0.0,
,,,0.02048,0.0,
,,,0.02056,-4.0,
,,,0.020639999,-3.2,
,,,0.02072,-3.2,
,,,0.0208,-2.4,
,,,0.020879999,-2.4,
,,,0.02096,-2.4,
,,,0.02104,-2.4,
,,,0.021119999,1.6,
,,,0.0212,0.8,
,,,0.02128,0.0,
,,,0.021359999,0.0,
,,,0.02144,0.0,
,,,0.02152,0.0,
,,,0.021599999,0.0,
,,,0.02168,-3.2,
,,,0.02176,-3.2,
,,,0.021839999,-2.4,
,,,0.02192,-2.4,
,,,0.022,-2.4,
,,,0.022079999,-2.4,
,,,0.02216,-2.4,
,,,0.02224,-2.4,
,,,0.022319999,0.8,
,,,0.0224,0.0,
,,,0.02248,0.0,
,,,0.022559999,0.0,
,,,0.02264,0.0,
,,,0.02272,0.0,
,,,0.022799999,-0.8,
,,,0.02288,-3.2,
,,,0.02296,-3.2,
,,,0.02304,-2.4,
,,,0.02312,-2.4,
,,,0.0232,-2.4,
,,,0.02328,-2.4,
,,,0.023359999,-2.4,
,,,0.02344,-1.6,
,,,0.02352,0.8,
,,,0.023599999,0.8,
,,,0.02368,0.0,
,,,0.02376,0.0,
,,,0.023839999,0.0,
,,,0.02392,-0.8,
,,,0.024,-0.8,
,,,0.024079999,-3.2,
,,,0.02416,-3.2,
,,,0.02424,-3.2,
,,,0.024319999,-3.2,
,,,0.0244,-3.2,
,,,0.02448,-3.2,
,,,0.024559999,-3.2,
,,,0.02464,14.0,
,,,0.02472,10.0,
,,,0.024799999,6.8,
,,,0.02488,6.0,
,,,0.02496,5.2000003,
,,,0.025039999,4.4,
,,,0.02512,-22.800001,
,,,0.0252,-21.2,
,,,0.025279999,-14.0,
,,,0.02536,-12.400001,
,,,0.02544,-11.6,
,,,0.025519999,-10.8,
,,,0.0256,-10.8,
,,,0.02568,-9.6,
,,,0.025759999,14.8,
,,,0.02584,9.2,
,,,0.02592,6.8,
,,,0.025999999,5.2000003,
,,,0.02608,4.4,
,,,0.02616,4.4,
,,,0.026239999,3.2,
,,,0.02632,-13.2,
,,,0.0264,-9.6,
,,,0.026479999,-8.0,
,,,0.02656,-7.2000003,
,,,0.02664,-6.4,
,,,0.026719999,-6.4,
,,,0.0268,-6.4,
,,,0.02688,-5.6,
,,,0.026959999,8.400001,
,,,0.02704,4.4,
,,,0.02712,3.2,
,,,0.027199998,2.4,
,,,0.02728,2.4,
,,,0.02736,1.6,
,,,0.027439998,1.6,
,,,0.02752,-8.0,
,,,0.0276,-5.6,
