ProID,Info,,time,Value,
GenTime,2021-12-22 20:44:33,,0.0,-8.8,
Record Length,87500 Points,,8.0E-5,-8.0,
Sample Interval,8.0E-5 s,,1.6E-4,-7.2000003,
Trigger Time,0s,,2.4E-4,-6.4,
Source,CH2,,3.2E-4,-5.6,
Vertical Units,(V)/grid,,4.0E-4,-5.6,
Vertical Scale,20.0,,4.8E-4,8.400001,
Vertical Offset,-44,,5.5999996E-4,4.4,
Horizontal Units,s/grid,,6.4E-4,3.2,
Horizontal Scale,0.5,,7.2E-4,2.4,
Probe Atten,10.0,,8.0E-4,1.6,
,,,8.7999995E-4,1.6,
,,,9.6E-4,1.6,
,,,0.00104,-10.8,
,,,0.0011199999,-7.2000003,
,,,0.0011999999,-5.6,
,,,0.00128,-5.6,
,,,0.00136,-4.8,
,,,0.00144,-4.8,
,,,0.0015199999,-4.0,
,,,0.0016,6.8,
,,,0.00168,3.2,
,,,0.0017599999,1.6,
,,,0.0018399999,0.8,
,,,0.00192,0.8,
,,,0.0019999999,0.8,
,,,0.00208,0.0,
,,,0.00216,-6.4,
,,,0.0022399998,-6.4,
,,,0.00232,-4.8,
,,,0.0023999999,-4.8,
,,,0.00248,-4.0,
,,,0.00256,-4.0,
,,,0.0026399998,-4.0,
,,,0.00272,-4.0,
,,,0.0028,2.4,
,,,0.00288,1.6,
,,,0.00296,0.8,
,,,0.0030399999,0.0,
,,,0.00312,0.0,
,,,0.0032,0.0,
,,,0.0032799998,0.0,
,,,0.00336,-0.8,
,,,0.00344,-3.2,
,,,0.0035199998,-3.2,
,,,0.0036,-3.2,
,,,0.0036799998,-3.2,
,,,0.00376,-3.2,
,,,0.00384,-3.2,
,,,0.00392,-3.2,
,,,0.0039999997,1.6,
,,,0.00408,0.0,
,,,0.00416,0.0,
,,,0.0042399997,0.0,
,,,0.00432,-0.8,
,,,0.0044,-0.8,
,,,0.0044799997,-0.8,
,,,0.00456,-3.2,
,,,0.00464,-2.4,
,,,0.00472,-2.4,
,,,0.0047999998,-2.4,
,,,0.00488,-2.4,
,,,0.00496,-2.4,
,,,0.0050399997,-2.4,
,,,0.00512,0.8,
,,,0.0052,0.8,
,,,0.0052799997,0.0,
,,,0.00536,0.0,
,,,0.00544,0.0,
,,,0.0055199997,0.0,
,,,0.0056,-0.8,
,,,0.00568,-0.8,
,,,0.00576,-3.2,
,,,0.0058399998,-2.4,
,,,0.00592,-2.4,
,,,0.006,-2.4,
,,,0.0060799997,-2.4,
,,,0.00616,-2.4,
,,,0.00624,-2.4,
,,,0.0063199997,0.8,
,,,0.0064,0.0,
,,,0.00648,0.0,
,,,0.0065599997,-0.8,
,,,0.00664,0.0,
,,,0.00672,-0.8,
,,,0.0067999996,-0.8,
,,,0.00688,-3.2,
,,,0.00696,-3.2,
,,,0.0070399996,-2.4,
,,,0.0071199997,-2.4,
,,,0.0072,-2.4,
,,,0.00728,-2.4,
,,,0.0073599997,-2.4,
,,,0.00744,-1.6,
,,,0.00752,0.8,
,,,0.0075999997,0.0,
,,,0.00768,0.0,
,,,0.00776,0.0,
,,,0.00784,-0.8,
,,,0.00792,-0.8,
,,,0.007999999,-0.8,
,,,0.00808,-3.2,
,,,0.00816,-4.8,
,,,0.008239999,-4.0,
,,,0.00832,-4.0,
,,,0.0084,-3.2,
,,,0.008479999,-3.2,
,,,0.00856,17.2,
,,,0.00864,10.8,
,,,0.008719999,7.6,
,,,0.0088,6.8,
,,,0.00888,6.0,
,,,0.008959999,5.2000003,
,,,0.00904,4.4,
,,,0.00912,-19.6,
,,,0.0092,-14.8,
,,,0.00928,-9.6,
,,,0.00936,-8.0,
,,,0.00944,-7.2000003,
,,,0.00952,-6.4,
,,,0.0095999995,-5.6,
,,,0.00968,-5.6,
,,,0.00976,10.8,
,,,0.0098399995,6.8,
,,,0.00992,4.4,
,,,0.01,3.2,
,,,0.010079999,3.2,
,,,0.01016,2.4,
,,,0.01024,2.4,
,,,0.010319999,-10.8,
,,,0.0104,-6.4,
,,,0.01048,-4.8,
,,,0.010559999,-4.0,
,,,0.01064,-4.0,
,,,0.01072,-3.2,
,,,0.010799999,-3.2,
,,,0.01088,-3.2,
,,,0.01096,6.0,
,,,0.011039999,3.2,
,,,0.01112,2.4,
,,,0.0112,1.6,
,,,0.011279999,1.6,
,,,0.01136,1.6,
,,,0.01144,1.6,
,,,0.01152,-6.4,
,,,0.0116,-4.0,
,,,0.0116799995,-3.2,
,,,0.01176,-2.4,
,,,0.01184,-2.4,
,,,0.0119199995,-1.6,
,,,0.012,-1.6,
,,,0.01208,3.2,
,,,0.012159999,2.4,
,,,0.01224,1.6,
,,,0.01232,1.6,
,,,0.012399999,0.8,
,,,0.01248,0.8,
,,,0.01256,0.8,
,,,0.012639999,0.0,
,,,0.01272,-3.2,
,,,0.0128,-2.4,
,,,0.012879999,-2.4,
,,,0.01296,-1.6,
,,,0.01304,-1.6,
,,,0.013119999,-1.6,
,,,0.0132,-1.6,
,,,0.01328,2.4,
,,,0.013359999,0.8,
,,,0.01344,0.8,
,,,0.01352,0.0,
,,,0.013599999,0.8,
,,,0.01368,0.0,
,,,0.01376,0.0,
,,,0.013839999,-4.0,
,,,0.01392,-2.4,
,,,0.0139999995,-2.4,
,,,0.014079999,-2.4,
,,,0.01416,-1.6,
,,,0.014239999,-1.6,
,,,0.01432,-1.6,
,,,0.0144,1.6,
,,,0.014479999,0.8,
,,,0.01456,0.0,
,,,0.01464,0.0,
,,,0.014719999,0.0,
,,,0.0148,0.0,
,,,0.01488,0.0,
,,,0.014959999,0.0,
,,,0.01504,-3.2,
,,,0.01512,-2.4,
,,,0.015199999,-2.4,
,,,0.01528,-1.6,
,,,0.01536,-1.6,
,,,0.015439999,-1.6,
,,,0.01552,-1.6,
,,,0.0156,0.8,
,,,0.01568,0.0,
,,,0.015759999,0.0,
,,,0.01584,0.0,
,,,0.01592,-0.8,
,,,0.015999999,-0.8,
,,,0.01608,-0.8,
,,,0.01616,-3.2,
,,,0.016239999,-3.2,
,,,0.01632,-2.4,
,,,0.0164,-2.4,
,,,0.016479999,-2.4,
,,,0.01656,-1.6,
,,,0.01664,-1.6,
,,,0.016719999,-1.6,
,,,0.0168,0.8,
,,,0.01688,0.8,
,,,0.016959999,0.0,
,,,0.01704,0.0,
,,,0.01712,0.0,
,,,0.017199999,0.0,
,,,0.01728,0.0,
,,,0.01736,-2.4,
,,,0.017439999,-3.2,
,,,0.01752,-2.4,
,,,0.0176,-1.6,
,,,0.017679999,-1.6,
,,,0.01776,-1.6,
,,,0.01784,-1.6,
,,,0.017919999,16.4,
,,,0.018,9.2,
,,,0.01808,7.6,
,,,0.01816,6.8,
,,,0.01824,6.0,
,,,0.01832,5.2000003,
,,,0.0184,5.2000003,
,,,0.01848,-18.0,
,,,0.01856,-8.8,
,,,0.01864,-6.4,
,,,0.01872,-5.6,
,,,0.0188,-4.8,
,,,0.01888,-4.8,
,,,0.01896,-4.8,
,,,0.01904,12.400001,
,,,0.01912,7.6,
,,,0.019199999,6.0,
,,,0.01928,4.4,
,,,0.01936,4.4,
,,,0.019439999,3.2,
,,,0.01952,3.2,
,,,0.0196,-11.6,
,,,0.019679999,-7.2000003,
,,,0.01976,-4.8,
,,,0.01984,-4.0,
,,,0.019919999,-4.0,
,,,0.02,-3.2,
,,,0.02008,-3.2,
,,,0.020159999,-2.4,
,,,0.02024,6.8,
,,,0.02032,4.4,
,,,0.020399999,3.2,
,,,0.02048,2.4,
,,,0.02056,1.6,
,,,0.020639999,1.6,
,,,0.02072,1.6,
,,,0.0208,-7.2000003,
,,,0.020879999,-4.0,
,,,0.02096,-3.2,
,,,0.02104,-2.4,
,,,0.021119999,-2.4,
,,,0.0212,-2.4,
,,,0.02128,-2.4,
,,,0.021359999,4.4,
,,,0.02144,2.4,
,,,0.02152,1.6,
,,,0.021599999,0.8,
,,,0.02168,0.8,
,,,0.02176,0.8,
,,,0.021839999,0.8,
,,,0.02192,0.8,
,,,0.022,-4.0,
,,,0.022079999,-3.2,
,,,0.02216,-2.4,
,,,0.02224,-2.4,
,,,0.022319999,-2.4,
,,,0.0224,-2.4,
,,,0.02248,-2.4,
,,,0.022559999,1.6,
,,,0.02264,0.8,
,,,0.02272,0.0,
,,,0.022799999,0.0,
,,,0.02288,0.0,
,,,0.02296,0.0,
,,,0.02304,0.0,
,,,0.02312,-3.2,
,,,0.0232,-3.2,
,,,0.02328,-2.4,
,,,0.023359999,-2.4,
,,,0.02344,-2.4,
,,,0.02352,-2.4,
,,,0.023599999,-3.2,
,,,0.02368,0.8,
,,,0.02376,0.8,
,,,0.023839999,0.0,
,,,0.02392,0.0,
,,,0.024,0.0,
,,,0.024079999,-0.8,
,,,0.02416,-0.8,
,,,0.02424,-0.8,
,,,0.024319999,-3.2,
,,,0.0244,-2.4,
,,,0.02448,-2.4,
,,,0.024559999,-2.4,
,,,0.02464,-2.4,
,,,0.02472,-2.4,
,,,0.024799999,-2.4,
,,,0.02488,0.8,
,,,0.02496,0.8,
,,,0.025039999,0.0,
,,,0.02512,0.0,
,,,0.0252,0.0,
,,,0.025279999,0.0,
,,,0.02536,-0.8,
,,,0.02544,-0.8,
,,,0.025519999,-3.2,
,,,0.0256,-2.4,
,,,0.02568,-2.4,
,,,0.025759999,-1.6,
,,,0.02584,-1.6,
,,,0.02592,-1.6,
,,,0.025999999,-1.6,
,,,0.02608,0.8,
,,,0.02616,0.8,
,,,0.026239999,0.0,
,,,0.02632,0.0,
,,,0.0264,0.0,
,,,0.026479999,0.0,
,,,0.02656,-0.8,
,,,0.02664,-0.8,
,,,0.026719999,-2.4,
,,,0.0268,-2.4,
,,,0.02688,-2.4,
,,,0.026959999,-1.6,
,,,0.02704,-1.6,
,,,0.02712,-1.6,
,,,0.027199998,15.6,
,,,0.02728,8.400001,
,,,0.02736,6.8,
,,,0.027439998,6.0,
,,,0.02752,5.2000003,
,,,0.0276,4.4,
,,,0.027679998,4.4,
,,,0.027759999,-18.0,
,,,0.02784,-8.8,
,,,0.027919998,-7.2000003,
,,,0.027999999,-6.4,
,,,0.02808,-5.6,
,,,0.028159998,-4.8,
,,,0.028239999,-4.8,
,,,0.02832,12.400001,
,,,0.0284,7.6,
,,,0.028479999,6.0,
,,,0.02856,4.4,
,,,0.02864,4.4,
,,,0.028719999,3.2,
,,,0.0288,2.4,
,,,0.02888,2.4,
,,,0.028959999,-7.2000003,
,,,0.02904,-4.8,
,,,0.02912,-4.0,
,,,0.029199999,-4.0,
,,,0.02928,-3.2,
,,,0.02936,-3.2,
,,,0.029439999,-3.2,
,,,0.02952,6.8,
,,,0.0296,3.2,
,,,0.029679999,2.4,
,,,0.02976,2.4,
,,,0.02984,1.6,
,,,0.029919999,1.6,
,,,0.03,1.6,
,,,0.03008,-7.2000003,
,,,0.030159999,-4.8,
,,,0.03024,-4.0,
,,,0.03032,-3.2,
,,,0.030399999,-3.2,
,,,0.03048,-2.4,
,,,0.03056,-2.4,
,,,0.030639999,3.2,
,,,0.03072,2.4,
,,,0.0308,1.6,
,,,0.030879999,0.8,
,,,0.03096,0.8,
,,,0.03104,0.0,
,,,0.031119999,0.8,
,,,0.0312,0.0,
,,,0.03128,-4.0,
,,,0.03136,-3.2,
,,,0.03144,-2.4,
,,,0.031519998,-2.4,
,,,0.0316,-2.4,
,,,0.03168,-1.6,
,,,0.03176,-1.6,
,,,0.03184,1.6,
,,,0.03192,0.8,
,,,0.031999998,0.0,
,,,0.03208,0.0,
,,,0.03216,0.0,
,,,0.03224,0.0,
,,,0.03232,0.0,
,,,0.0324,-3.2,
,,,0.032479998,-3.2,
,,,0.03256,-2.4,
,,,0.03264,-2.4,
,,,0.03272,-1.6,
,,,0.0328,-1.6,
,,,0.03288,-1.6,
,,,0.032959998,-0.8,
,,,0.03304,0.8,
,,,0.03312,0.0,
,,,0.0332,0.0,
,,,0.03328,0.0,
,,,0.03336,-0.8,
,,,0.033439998,0.0,
,,,0.03352,-0.8,
,,,0.0336,-3.2,
,,,0.03368,-2.4,
,,,0.03376,-2.4,
,,,0.03384,-1.6,
,,,0.033919998,-1.6,
,,,0.033999998,-1.6,
,,,0.03408,-1.6,
,,,0.03416,0.8,
,,,0.03424,0.8,
,,,0.03432,0.0,
,,,0.034399997,0.0,
,,,0.034479998,0.0,
,,,0.03456,0.0,
,,,0.03464,0.0,
,,,0.03472,0.0,
,,,0.0348,-3.2,
,,,0.034879997,-2.4,
,,,0.034959998,-1.6,
,,,0.03504,-1.6,
,,,0.03512,-1.6,
,,,0.0352,-1.6,
,,,0.03528,-1.6,
,,,0.035359997,0.8,
,,,0.035439998,0.8,
,,,0.03552,0.0,
,,,0.0356,0.0,
,,,0.03568,0.0,
,,,0.03576,0.0,
,,,0.035839997,-0.8,
